input,domain_label,intent_label
Remind me to wash my hair in 30 minutes.,reminder,create reminder
Set an alarm that goes off daily at 6am,alarm,create alarm
let me see video messages from my niece Makayla,messaging,get message
Do I have any friends who graduated from Harvard?,people,get contact
Remind me to switch from Netflix to Hulu today at 6:00 p.m.,reminder,create reminder
i need to add a contact to this call,calling,update call
Cancel all of Fridays reminders.,reminder,delete reminder
Pause my countdown timer,timer,pause timer
How many calories are in one oreo,recipes,get info recipes
Show me who is ready,calling,get availability
How do you cook spaghetti,recipes,get recipes
Delete the reminder to pick up flowers next week.,reminder,delete reminder
START THE TIMER,timer,create timer
let me see texts from Adelina,messaging,get message
Set up a reminder for the school open house on Monday August 6th at 6pm,reminder,create reminder
can you tell me tomorrow's forecast in half moon bay?,weather,get weather
I will be meeting my school friend Kate after many years next Friday evening at 5pm. Can you please set up a reminder to remind me about it Bot?,reminder,create reminder
What can I make to go with the pork chops tonight,recipes,get info recipes
going to Bands on the Bayfront,event,set rsvp yes
don't play this artist again,music,remove from playlist music
Acknowledge Sherman and tell him I got his voicemail.,messaging,send message
Tell me how much time I have left,timer,get timer
Music for Sleeping: Thunderstorm and Rain Sounds on pandora please,music,play music
is it snowing in toledo,weather,get weather
who works in palo alto,people,get contact
Could you please give weather information for Italy,weather,get weather
I need a new alarm for 8:30 am,alarm,create alarm
What kind of event is Hocus Pocus?,event,get category event
When did Grandma try to video call me?,calling,get call time
call Arturo Malika Haydal 's spouse,calling,create call
bring me the latest celebrity gossip,news,get stories news
Remind me to change the oil in my car in 6 weeks.,reminder,create reminder
Weather at 9am?,weather,get weather
Show me what the reminders are from today,reminder,get reminder
when did amanda go to wneu,people,get education time
leave call and go to new call,calling,switch call
is it going to snow in Chicago tomorrow?,weather,get weather
Can you snooze my alarm for 5 minutes?,alarm,snooze alarm
start playing Nothing But The Beat,music,play music
set an alarm for 7:00 am tomorrow,alarm,create alarm
What time is Sun rise tomorrow morning,weather,get sunrise
Is there anything interesting happening next week in my area,event,get event
ask sara if she's going to the work event tomorrow,messaging,send message
Play some Gothic Metal music.,music,play music
let's call Uriel using WhatsApp,calling,create call
call Amina whatsapp video,calling,create call
start 5:30pm alarm,alarm,create alarm
Send call invite to boyfriend to join conversation,calling,update call
Is there any tennis match tomorrow night,event,get event
"Set an alarm for Friday, please",alarm,create alarm
please use spotify as my default,music,set default provider music
Drop Benjamin from this call,calling,update call
REMIND ME TO PRE-HEAT THE OVEN AT 4:30 PM.,reminder,create reminder
Is there a chance for snow today?,weather,get weather
call Laronda Menette 's boyfriend,calling,create call
I need two alarms set for 2am,alarm,create alarm
Remind me to cancel my ancestry membership six months from now,reminder,create reminder
call cook,calling,create call
indicate all set alarms,alarm,get alarm
Will there be a sunrise the day after tomorrow at 16th Street Mall,weather,get sunrise
set alarm for 6 a.m.,alarm,create alarm
Does Judy work at Google,people,get employer
Remind me to text Martha tomorrow.,reminder,create reminder
Adjust the reminder about baking a vanilla cake this Saturday to baking a chocolate cake.,reminder,update reminder todo
I wanna jam to some Toby Keith!,music,play music
Increase timer after 10 min,timer,add time timer
resume timer in 30 minutes,timer,resume timer
Set an alarm for every 2 and a half minutes,alarm,create alarm
How cold is it today new york degrees fahrenheit,weather,get weather
Set an alarm for 8:30 am,alarm,create alarm
Who is working for CSS?,people,get contact
Change my mode to busy,calling,set unavailable
Do you have some more car shows,event,get event
Remind me about tomorrow playdate,reminder,create reminder
Give me the last 10 headlines.,news,get stories news
How long do I need to soak beans for,recipes,get info recipes
weather in Rochester,weather,get weather
Change my 'Murdock Mysteries' alarm to start on June 5th,alarm,update alarm
dial Mom's number,calling,create call
what was the high yesterday,weather,get weather
in one hour what will the weather be like,weather,get weather
display messages from kid Zoey,messaging,get message
What information can you give me about Emily?,people,get info contact
play the band Trippie Redd,music,play music
I want to know more about Jack,people,get info contact
Make a group call for the family reunion please,calling,create call
send that video to the people in my undergraduate class chat,messaging,send message
ring up Max,calling,create call
Who was Gayle Kings ex husband?,people,get contact
Minus 5 minutes from timer,timer,subtract time timer
Art festivals for 2018,event,get event
Can you remind me to order movie tickets before noon tomorrow,reminder,create reminder
Display reminders for me.,reminder,get reminder
"Answer the new call, please",calling,answer call
tell julie that I can't find the details anywhere for her coffee clatch event,messaging,send message
Set a reminder to pay the water bill,reminder,create reminder
Keep reading that message.,messaging,get message
Delete the reminder about the date with Ashley on Saturday night.,reminder,delete reminder
Make 'get me up' alarm for 7 AM,alarm,create alarm
Set an alarm every Monday at 10:00AM,alarm,create alarm
please play the last song again,music,previous track music
What temperature do I cook a turkey,recipes,get info recipes
Should I pack a sweater tomorrow?,weather,get weather
take thirty minutes off the time,timer,subtract time timer
Anything fun going on tonight,event,get event
my next alarm is what time,alarm,get alarm
What is the weather in Houston?,weather,get weather
Wake me up at 10 am on Saturdays,alarm,create alarm
I'm available today,calling,set available
How many calories are in one serving of Costco's chicken bake,recipes,get info recipes
Weather in South America in November,weather,get weather
How hot will it be today?,weather,get weather
give me a news update on Atlanta Falcons,news,get stories news
bring up some of my past calls with riley please,calling,get call
Message I'm going home and staying home.,messaging,send message
Take me to the sporting news.,news,get stories news
Please dial my mother,calling,create call
What are the reminders for next Tuesday?,reminder,get reminder
can you record a video message for Ronna Grew,messaging,send message
What are the headlines in national news?,news,get stories news
Did any of my friends attend UW-Waukesha?,people,get contact
What are the ingredients in Amy's Indian style casserole,recipes,get info recipes
Message my family asking what restaurant are we eating at or dinner tonight,messaging,send message
The location of the pool party has changed to Conrad's house.  Remind me to tell everybody.,reminder,create reminder
I need a timer to go off in 20 minutes,timer,create timer
please send Tony and Jordan,messaging,send message
whats my last reminder.,reminder,get reminder
any news on the president?,news,get stories news
Weather forecast for Mexico.,weather,get weather
Will I need to shovel snow tomorrow?,weather,get weather
"Create call for me Aurora, Francesca, and Cristian Long",calling,create call
set a reminder that Friday is payday,reminder,create reminder
Remind me to call Terry and ask him to feed the horse.,reminder,create reminder
Set a 'time for bed' alarm for this evening at 8 o'clock,alarm,create alarm
Play Hollywood Undead.,music,play music
please repeat last song,music,previous track music
Is it around 67 in C near Shanghai tonight,weather,get weather
rsvp yes to Dia de los Muertos,event,set rsvp yes
"Show all reminders for band recording sessions this coming weekend, in order according to time.",reminder,get reminder
Set an alarm for 6 pm,alarm,create alarm
"I dont want miss the doctors appointment, at 2 pm ,can you remind me 10 mins early.",reminder,create reminder
Is my best friend online?,calling,get availability
successful calls history,calling,get call
remind me to get gas on Friday,reminder,create reminder
call my grandfather meg,calling,create call
Remind Jake to have the lawn mowed by 5 pm tomorrow.,reminder,create reminder
put my status as busy,calling,set unavailable
End this call,calling,end call
Who does Sarah work for now?,people,get employer
Set an alarm for Friday at 3 pm.,alarm,create alarm
tell me more about who raquel is,people,get info contact
What is the weather next week in Miami?,weather,get weather
Is it going to rain in NYC on Saturday?,weather,get weather
who is Chris?,people,get contact
What is poi and how is it prepared,recipes,get info recipes
play Rocket Man: The Definitive Hits (Australian Tour Edition 2011) on iHeartRadio,music,play music
Weather in houston for tomorrow?,weather,get weather
should I expect rain,weather,get weather
Who play's this song?,music,get track info music
"Message Carrie, letting her know that you will be at the Thanksgiving get together.",messaging,send message
How will the weather be on December 31st?,weather,get weather
What can I use to grease a pan?,recipes,get info recipes
Accept video calls from Debra,calling,answer call
Tell me who works at IHOP,people,get contact
i want some beatles music,music,play music
Give me the news from The New York Times,news,get stories news
Can you add more time to my timer?,timer,add time timer
I want to video message Hayden,messaging,send message
create a new alarm for me for Thursday at 8am,alarm,create alarm
I need the weather for Bradford on Avon,weather,get weather
What reminders do I have for thursday afternoon?,reminder,get reminder
add to the call for me,calling,update call
I need to see who's available,calling,get availability
play another track,music,skip track music
What is going on in the news tonight?,news,get stories news
what is the average temperature for boiled water,recipes,get info recipes
Remind me to change my AC filters tomorrow.,reminder,create reminder
any comedy shows to go to on monday,event,get event
where does phillip work at,people,get employer
Make a voice call to Tsvetina,calling,create call
Set a timer for an hour,timer,create timer
Create a holiday alarm for 8am please.,alarm,create alarm
rsvp interested for  Plate by Plate,event,set rsvp interested
phone Milo Jenkins's nana,calling,create call
Find me a healthy recipe for baking a cake,recipes,get recipes
Message Kam and  tell her hair appt July 1st,messaging,send message
News Headlines,news,get stories news
What's happening in Pensacola today,event,get event
Remind me to confirm with Sara the dates of the camping trip this month,reminder,create reminder
How many calories in spaghetti?,recipes,get info recipes
Delete reminder about Jay's dinner,reminder,delete reminder
this weekends forecast please,weather,get weather
top stories please,news,get stories news
Tell me when Moon Viewing starts,event,get date time event
"looking for a gluten free meal to make tonight, something easy",recipes,get recipes
Update the ski group reminder to specify we're meeting at the old location,reminder,update reminder todo
how many calories are there in a slice of apple pie,recipes,get info recipes
What are some facts about Josh,people,get info contact
give me the afternoon weather,weather,get weather
friend list please,people,get contact
Play me some smooth jazz,music,play music
lets see messages from my nana,messaging,get message
Play a little German Hip-Hop music,music,play music
What is the recipe for fettuccine Alfredo,recipes,get recipes
Parties in Minneapolis tomorrow,event,get event
play cold by maroon five,music,play music
show my all of my set alarms please,alarm,get alarm
how long is it going to rain today,weather,get weather
Display my reminders for this week in regards to the girls scouts,reminder,get reminder
show me video messages from cousin Devin,messaging,get message
Tell me who Debra is,people,get info contact
Be quiet alarm,alarm,silence alarm
Play the heavy metal channel,music,play music
Resume the timer.,timer,resume timer
Remind me to purchase the grill for the cookout on August 28th.,reminder,create reminder
Set a reminder to return library books by 5:00 today.,reminder,create reminder
Start a timer for 10 minutes,timer,create timer
Did my family text me,messaging,get message
What is the highest temperature this week?,weather,get weather
Call Jessica,calling,create call
concerts in boston this month,event,get event
Send a message to Dakota and wish him a happy birthday.,messaging,send message
New reminder to register car.,reminder,create reminder
Temperature manila tonight Celcius,weather,get weather
call Rylan Mcgee call Reagan Sawyer in Whatsapp,calling,create call
What is the weather forecast for August 18th?,weather,get weather
invite allison to call,calling,update call
It would be great if you could remind me 30 minutes before my 2:00 appointment.,reminder,create reminder
i am free to chat,calling,set available
try to call Sherman Austin,calling,create call
turn on shuffle,music,start shuffle music
how to make veggie chicken nuggets,recipes,get recipes
play 1950s music,music,play music
Tell me about April,people,get info contact
always remind me of appointments on day before,reminder,create reminder
I need to know the weather for the full week,weather,get weather
Hot is it going to get this afternoon.,weather,get weather
Answer this call from my mothers in law.,calling,answer call
Reset my timer to 90 minutes.,timer,restart timer
What goes into a lasagna,recipes,get info recipes
Please read me all the upcoming reminder relating to my wife.,reminder,get reminder
things to do in los angeles this week,event,get event
"I want to be woken at 3.30pm, please set the alarm at this time",alarm,create alarm
Alarm for all weekday mornings 7am,alarm,create alarm
I need you to send my son Talon a video message please,messaging,send message
How many people have been injured at the  supremacist riot?,news,get details news
How many people were injured in Oklahoma storms today,news,question news
some old charlie daniels,music,play music
Is the weather going to be good at the beach,weather,get weather
change reminder to be at 3 instead of 5,reminder,update reminder date time
Please start a call in an hour with Mike,calling,create call
Change the reminder for the dog's meds to morning and night,reminder,update reminder date time
play starred list,music,play music
"Delete the reminder for Ryan's drill on Saturday, August 4th and Sunday August 5th.",reminder,delete reminder
What is the best way to cook chicken breasts to ensure they aren't dry,recipes,get info recipes
Read me all of my reminders,reminder,get reminder
can you send that video to the xyz thread,messaging,send message
Remove all reminders involving my girlfriend,reminder,delete reminder
Send a message asking what time they want to go to the Santa Monica Pier?,messaging,send message
how much time is left on my gym timer?,timer,get timer
Call bride,calling,create call
Add this track to kiddos playlist,music,add to playlist music
Are there any new Taylor Swift headlines?,news,get stories news
Remove all reminders about work,reminder,delete reminder
Who is in the news today?,news,get stories news
Switch to the incoming call after discontinuing the current call,calling,switch call
What is Donald Trumps current approval rating,news,question news
record a video message for Ricardo,messaging,send message
are tornado conditions expected at all today,weather,get weather
Where is Donald Trump traveling today,news,question news
put up one timer for 25 minutes and eight seconds and another timer for 30 minutes,timer,create timer
how humid is it this week?,weather,get weather
Change the Family Dinner alert on May 5th to May 4th.,reminder,update reminder date time
who works at pizza hut ?,people,get contact
Is it raining in London when I land at 1 p.m. local time?,weather,get weather
Subtract 15 minutes,timer,subtract time timer
what's up in downtown Kissimmee,event,get event
Begin recording a video message for my mother,messaging,send message
Play John Legend latest album,music,play music
End the phone call,calling,end call
what temperature should a beef roast be cooked at,recipes,get info recipes
do i need to bring boots along today,weather,get weather
Start timing me,timer,create timer
Turn this into a video message.,messaging,send message
i dont want to be bothered right now,calling,set unavailable
give Alexa Delgado's friend a call,calling,create call
Set a new timer for 10 minutes.,timer,create timer
Display alarms please.,alarm,get alarm
Help me find events for next weekend,event,get event
Should i take a jacket to Las Vegas?,weather,get weather
Friends of Amber.,people,get contact
please call 5551575,calling,create call
Make an alarm for 11:59pm on the 12th of May please,alarm,create alarm
Show me my alarms,alarm,get alarm
set alarm for 8 hours from now,alarm,create alarm
Show me my reminder's for next week.,reminder,get reminder
When did Briana graduate college?,people,get education time
I need to know what the weather will be like in London on Tuesday,weather,get weather
Tell me how old Mary is.,people,get age
Set up reminder to get oil change wednesday.,reminder,create reminder
set reminder to mail dna test tonight,reminder,create reminder
Who did Trump just fire?,news,question news
Call Genny,calling,create call
How do I make homemade chocolate chip cookies,recipes,get recipes
Read me all of the reminders.,reminder,get reminder
How long to reach the end of the timer?,timer,get timer
What movies are showing,event,get event
let me know when 30 minutes have passed,timer,create timer
weather forecast for Medlar with Wesham,weather,get weather
How hot is it at Manila today degrees Fahrenheit,weather,get weather
Turn off my nap alarm.,alarm,silence alarm
please stop call with cousin,calling,end call
What time did I get my last call,calling,get call time
Is there fog in the forecast today?,weather,get weather
Will I need to wear a waterproof jacket today?,weather,get weather
Comedy shows this week,event,get event
Start a video chat with mom,calling,create call
Remind me to set my 7am alarm.,reminder,create reminder
call Jaylyn number two,calling,create call
Message Ben to let him know that we are not going to the concert like we  Originally planned,messaging,send message
Is it raining right now in Florida?,weather,get weather
Show me my reminders for the day.,reminder,get reminder
whats a good recipe for pre-running food,recipes,get recipes
Please play some punk music,music,play music
remind me that i have a dentist appointment one week prior,reminder,create reminder
Remind me on Thursday to start diet,reminder,create reminder
replay the whole album.,music,replay music
I'd like to talk with Angelica lara,calling,create call
should I wear a rain coat today?,weather,get weather
read me the details about Trump rolling out a probe into China,news,get stories news
What is the baking temperature temperature for chicken breast,recipes,get info recipes
Remind me to set my DVR to record Big Brother when I get home at 6:30 this evening.,reminder,create reminder
please inform anyone who is online,calling,get availability
add ten minutes to my timer,timer,add time timer
What is the low temp supposed to be tonight?,weather,get weather
Let me know the weather on friday,weather,get weather
Give me a list of who is available,calling,get availability
Read me sports headlines.,news,get stories news
Show Salts stepsiblings upcoming birthdays,people,get contact
leave a video recording for Gino Hinkley,messaging,send message
Read current stock market news,news,get stories news
"create two new alarms for me, one for 12am and one for 5pm",alarm,create alarm
I want to set the alarm for 9 a.m. tomorrow.,alarm,create alarm
Please call Ace at the grocery store,calling,create call
Create a reminder for Uncle Bill to call Traci this Wednesday about the cottage.,reminder,create reminder
Create a workout timer that ends in 30 minutes,timer,create timer
snooze 5 more,alarm,snooze alarm
Events in Jacksonville tonight,event,get event
Set alarm for 1 hr before my dinner reservation at Redstone,alarm,create alarm
How many calories in a smoothie,recipes,get info recipes
Please play Smashing Pumpkins,music,play music
Can you find a recipe for Tomato soup,recipes,get recipes
Play the new Haim song.,music,play music
Do I know anyone who lives in spanaway?,people,get contact
Set timer for 33 minutes and remind.,timer,create timer
I want to hear Taylor swift,music,play music
Does ricotta cheese go in lasagna,recipes,is true recipes
Change station,music,play music
let me see my video messages from my dad Dylan,messaging,get message
Add a repeating alarm for Thursday mornings at 8am.,alarm,create alarm
what is the average rainfall in the Sahara desert,weather,get weather
Do any of my senior live in Bandung?,people,get contact
play led zepplin,music,play music
set a new timer for Reese,timer,create timer
Snooze alarm for 5 minutes,alarm,snooze alarm
what is fall weather like in Idyllwild CA?,weather,get weather
Please read me the latest news about last nights protest?,news,get stories news
Show me as available,calling,set available
tell me the weather outlook for this bank hoilday,weather,get weather
what is the high and low temperature today,weather,get weather
create one timer for 10 minutes and another for seven seconds and another for 10 minutes,timer,create timer
How old is Tammy?,people,get age
What day is my vacation reminder?,reminder,get reminder date time
create an alarm for 5 in the morning for thursday 4th june,alarm,create alarm
"I need to call randy tomorrow evening, can you remind me at 5 pm .",reminder,create reminder
Please add mum now,calling,update call
Remind me that I have a conference call tomorrow at 10 am,reminder,create reminder
i want to listen to nicki minaj,music,play music
Read the details on the Russia investigation,news,get stories news
call Amaya on video with Whatsapp,calling,create call
remind me to stop for gas on the way home from work,reminder,create reminder
Who lives in Sante Fe?,people,get contact
show me as busy,calling,set unavailable
How old will Graham be in 2020 ?,people,get age
Remind me to mail out Karoline's gift today please,reminder,create reminder
Message Reggie to ask him what time he will arrive.,messaging,send message
Did Maria finished her Master degrees?,people,get education degree
Message Michelle and tell her that we need to plan a girls night out.,messaging,send message
how do I make noodles,recipes,get recipes
Create an alarm named appointment for friday at 10am,alarm,create alarm
Remind me to get coffee at 3pm tomorrow,reminder,create reminder
Has Emily M. Bender sent me anything?,messaging,get message
dial 555-0522,calling,create call
Do I need a pinch of sugar for tomato sauce,recipes,get info recipes
modify timer,timer,update timer
dips for parties,recipes,get recipes
Make an alarm for the next 7 weeks for Thursday at 6pm,alarm,create alarm
I need more details about the OJ Simpson case,news,get stories news
Please start call with Conner and Oscar on Whatsapp,calling,create call
rsvp interested for the second event,event,set rsvp interested
Remove the reminder about Andrea's gathering,reminder,delete reminder
Get my video messages from the closest buddies group,messaging,send message
Remind me to check-in with Susan Friday.,reminder,create reminder
what's going on with my timer,timer,get timer
Wake me up at 7am on the 2nd,alarm,create alarm
play news from london,news,get stories news
Wake me up tomorrow morning,alarm,create alarm
Who works for Lowes?,people,get contact
Do any of my friends live in Anchorage?,people,get contact
Broadcast the weather details in Canada,weather,get weather
Is it around 4 in F mumbai tomorrow,weather,get weather
Locate some recipes for tomato soup,recipes,get recipes
How do I make Hummus,recipes,get recipes
What are the best preforming stocks right now,news,question news
Set a timer to go off in 4 hours,timer,create timer
How to make Chinese fried rice,recipes,get recipes
Is Donald Trump going to be impeached?,news,question news
Do I need snow boots in Boston tomorrow?,weather,get weather
how cold is it in iceland,weather,get weather
call Megan 's mother,calling,create call
What years did Ralph attend Penn State?,people,get education time
show me reminders i have for work meetings next week,reminder,get reminder
Seek all available,calling,get availability
Set the timer to record my show at 8pm,timer,create timer
One hour for alarm,alarm,create alarm
can you suspend the timer,timer,pause timer
Please play the last track again,music,previous track music
play the song Can't Feel My Face,music,play music
How to cook a steak medium rare,recipes,get info recipes
Tell Pandora to play Death Valley,music,play music
Remind me to call my mother,reminder,create reminder
Do I have an alarm for Wednesday?,alarm,get alarm
is it going to snow sunday,weather,get weather
send John on WhatsApp a message saying talk to you later,messaging,send message
Is the timer still running?,timer,get timer
How hot should I bake cornbread in the oven,recipes,get info recipes
Tell me the weather for Monday next week.,weather,get weather
how long is my timer for?,timer,get timer
Change my pedicure reminder on Tuesday to Wednesday at the same time.,reminder,update reminder date time
Add in Melanie please,calling,update call
Change my grocery list reminder from eggs and butter to pancakes and soap.,reminder,update reminder todo
Back exercises timer paused.,timer,pause timer
Create a second timer for 3 hours,timer,create timer
I'd like to make Chicken Pot Pie from scratch,recipes,get recipes
How to make baby food,recipes,get recipes
set a timer for 15 minutes and start now,timer,create timer
Remind Pixie to drop off her library books.,reminder,create reminder
whats going on in local news,news,get stories news
I want more details about what's happening in Charlottesville,news,get stories news
have i missed any video calls this morning?,calling,get call
What's happening in Lorain next wekend,event,get event
Anybody online? Who?,calling,get availability
will it be below zero next week,weather,get weather
Are there any lacrosse matches going on in July,event,get event
how do you make vegan pancakes,recipes,get recipes
put 11 minutes more on the Pumpkin seeds timer,timer,add time timer
How long do i have left,timer,get timer
I need you to message Denny,messaging,send message
What is the forecast for Aug. 15?,weather,get weather
show me top music news,news,get stories news
how many eggs are needed to make sugar cookies,recipes,get info recipes
What's the weather like in Tanzania?,weather,get weather
Will we get a frost this week?,weather,get weather
what is the weather in Florida for the next 5 days,weather,get weather
Remind me to go pick up my prescriptions at 4:45PM next Wednesday.,reminder,create reminder
How do you make chicken enchiladas,recipes,get recipes
Can you inform the meteorological conditions for late afternoon?,weather,get weather
start the timer over,timer,resume timer
set reminder for tomorrow at 6 am,reminder,create reminder
What time did I call Mum yesterday?,calling,get call time
Which of Max Wollin grand daughters have birthdays coming up?,people,get contact
How many calories are in hash browns,recipes,get info recipes
how many inches of rain will we be getting over the next week,weather,get weather
There needs to be an alarm every Monday at 8.,alarm,create alarm
please start call with Perla,calling,create call
send the rave exchange thread,messaging,send message
Can you find people who are friends with Tom?,people,get contact
Call Ezekiel Daxton Farley for me,calling,create call
how do I make bread from scratch,recipes,get recipes
how many minutes do i have left on my timer?,timer,get timer
play a kpop playlist,music,play music
any friends online now,calling,get availability
Please call my aunts.,calling,create call
Set a reminder to get the tires checked on August 1st,reminder,create reminder
Change my reminder for this evening to 9pm.,reminder,update reminder date time
video calling on,calling,update method call
any comedy shows to go to on saturday,event,get event
who is the best friend of tom,people,get contact
close out of timer,timer,pause timer
Set a reminder to send my rent money at 8 am tomorrow morning.,reminder,create reminder
call Judy Collins,calling,create call
Who works at Amazon,people,get contact
Remind me to gas for the mower on the way home tonight,reminder,create reminder
"Give me the weather forecast for China, please.",weather,get weather
gimme a 10 minute timer,timer,create timer
What is today's lows?,weather,get weather
get me my mom Isabelle Peverini,calling,create call
what do I need to make beef stew,recipes,get info recipes
How long has Jill worked for her current employer?,people,get employment time
Have Murphy taken off the group call,calling,update call
Start the timer in 2 hours,timer,create timer
start a call with lisa please,calling,create call
Remind Sarah that we are meeting at 1230pm on the 3rd.,reminder,create reminder
What events are happening in Los Angeles this weekend,event,get event
Set an alarm for tomorrow morning at 5.,alarm,create alarm
can you tell me something about heather?,people,get info contact
Set up a reminder to wake up at 11pm.,reminder,create reminder
has john worked for google before,people,get employer
call Floria Valiente 's father,calling,create call
set my status as going to Fly 5K at the Museum of Flight,event,set rsvp yes
I'm trying to find something to do in Atlanta tomorrow,event,get event
Rewind the timer to the beginning.,timer,resume timer
call Liliana and Bailey,calling,create call
set timer for 5 hours,timer,create timer
is it hot outside?,weather,get weather
who does tom currently work for,people,get employer
fix a timer for 2 minutes,timer,create timer
what's the forecast looking like for Chicago next week?,weather,get weather
Find a recipe for toll house cookies with pecans,recipes,get recipes
give the grandfather of Justin a call,calling,create call
Has Nevada Ownbey video messaged me?,messaging,get message
remind me about my date on Friday night,reminder,create reminder
did the president give any updates today,news,get stories news
I would like to listen to Aaliyah please.,music,play music
Tell me some events happening tonight in Seattle,event,get event
Start a timer.,timer,create timer
How much does this song cost to buy?,music,get track info music
Read Brigantine headlines,news,get stories news
go ahead and stop this timer,timer,pause timer
Events in Escondido tonight,event,get event
finished my reminder please delete,reminder,delete reminder
any updates on the news,news,get stories news
I'm done with the call now,calling,end call
send a message to village chat that says are you free,messaging,send message
What are the weather conditions in Chicago on Tuesday,weather,get weather
Is Dominic a Microsoft Certified Engineer?,people,get job
Let's set an alarm for the grandchildren's concert on Saturday at 3pm,alarm,create alarm
call my sister Ali Hunter using WhatsApp,calling,create call
I cannot talk right now,calling,set unavailable
How much rain should I expect today,weather,get weather
show me Manuel's work location ?,people,get location
Remind me that I have a meeting in the morning.,reminder,create reminder
find me 21 Savage,music,play media
How many tablespoons of sugar are added to a pancake mix,recipes,get info recipes
start a video call with anne,calling,create call
Please call Ted.,calling,create call
can you show the daily newyorker live news,news,get stories news
where does bob work,people,get employer
Where does Vanessa live?,people,get location
find karaoke version of amy winehouse songs,music,play music
Play next song,music,skip track music
What temperature should I bake a cheese pizza at,recipes,get info recipes
Create a alarms for 1pm and 5pm on Monday for a Month,alarm,create alarm
Did Karen work at Barnes and Noble?,people,get employer
Play James Arthur's album for me.,music,play music
What's in deviled eggs,recipes,get info recipes
Create a reminder to take my car to have the tires rotated on Tuesday afternoon.,reminder,create reminder
theater events in jersey city this week,event,get event
Weather in England!,weather,get weather
remind Travis and Trish that we are doing lunch tomorrow,messaging,send message
pause timer and then restart it,timer,pause timer
Can you add my brother to this call?,calling,update call
Updates on the latest FBI investigation news,news,get stories news
send jaclyn a happy birthday message,messaging,send message
make a playlist called: Walk Like A Badass,music,create playlist music
i want to see video messages from my papa,messaging,get message
Message my brother that we need to be at the show early tomorrow.,messaging,send message
set timer for 10 seconds,timer,create timer
call filing clerk,calling,create call
Are there any events happening on Wednesday in Albuquerque,event,get event
Message Krystal that I don't want to do this anymore.,messaging,send message
add Maria,calling,update call
Start a new timer for 20 minutes.,timer,create timer
remind me to check on the ebay listing at 3:55pm,reminder,create reminder
What events in New York next week,event,get event
Please call my doctor,calling,create call
Play popular music from last year,music,play music
go to fox news,news,get stories news
Remind me that Sophia does not like Vanilla ice cream on Saturday night.,reminder,create reminder
add sarah on this call too,calling,update call
Set a reminder to clean the man cave at 5 pm,reminder,create reminder
Change reminder for pool night to Sunday at 10pm.,reminder,update reminder date time
Read me the important news of today,news,get stories news
How long do you cook boneless chicken breast in the oven,recipes,get info recipes
Set a reminder for doctor's appointment next Tuesday.,reminder,create reminder
How do I keep from overcooking my chicken,recipes,get info recipes
London weather at 3pm next Wednesday,weather,get weather
Delete all timers.,timer,delete timer
When did Larry graduate college?,people,get education time
Play some J Guitar Pop music.,music,play music
Set an alarm for 10 at night.,alarm,create alarm
Remind me to call University Oaks about the application at 6 pm.,reminder,create reminder
how long to boil for a soft boiled egg,recipes,get info recipes
Give me an update on the flooding in Houston,news,get stories news
Whats the temperature in new york city?,weather,get weather
shut off alarm now,alarm,silence alarm
Add another 10 minutes to my timer,timer,add time timer
set my snooze alarm for 1 hour,alarm,create alarm
what's going on in Colorado in March,event,get event
message eric and ask him when the next time he is going to catalyst gym is,messaging,send message
Set an alarm for 7 AM Tuesday through Thursday,alarm,create alarm
Remind Deb to add her menu to the camping list.,reminder,create reminder
Is Alex available to call right now?,calling,get availability
Who's going to Brickpalooza?,event,get attendee event
Play previous song,music,previous track music
What is the location of the reminders for my sister for her birthday party?,reminder,get reminder location
I need you to tell me the location of this event,event,get location
Set alarm for 10am every Monday,alarm,create alarm
celebrity gossip news please,news,get stories news
will it be raining tonight,weather,get weather
How long with the recipe take from preparation to cooking,recipes,get info recipes
Remind us about Josh's birthday on Thursday instead of Friday.,reminder,update reminder date time
i am unavailable,calling,set unavailable
get my grandsons on the phon,calling,create call
when is my reminder set for mowing the lawn?,reminder,get reminder date time
Set a reminder for Dad to meet me for tennis on Sunday at noon.,reminder,create reminder
"Lucie borrowed my blue dress, remind me to get it back after her party.",reminder,create reminder
what reminders do I have for friday,reminder,get reminder
What reminders do I have for the 20th?,reminder,get reminder
Ask my aunt what day the strawberry farm opens.,messaging,send message
What is the weather going to be like in Austin today,weather,get weather
set up a reminder at 12pm today,reminder,create reminder
Make sure there is an alarm this Thursday at 6am,alarm,create alarm
please make a group call for my family,calling,create call
Remind me to set up appointment?,reminder,create reminder
Send message to Kelly,messaging,send message
what is my next reminder for the day today?,reminder,get reminder
How many cups of flour to make a small pizza,recipes,get info recipes
Can you remind me to submit my spreadsheet at 5 pm today?,reminder,create reminder
display my laundry soaking timer,timer,get timer
Kielbasa recipe with turkey sausage.,recipes,get recipes
How do I re-heat asparagus,recipes,get info recipes
delete all future reminders about swim class,reminder,delete reminder
create alarm for me on thursday at 3,alarm,create alarm
set the 6am alarm,alarm,create alarm
call the third Richard,calling,create call
how would I make gluten free bread,recipes,get recipes
message my dad and ask him if he is planning to fly in for the graduation on june 21st at the high school,messaging,send message
show how long on Stop brewing timer,timer,get timer
How cold is it tonight around Paris degree Celcius,weather,get weather
Set alarm for 6:30,alarm,create alarm
Is it above 42 C at Shanghai tomorrow morning,weather,get weather
stop first timer,timer,pause timer
